arm,gap,count,min_max,frequency
3,0,2,min,0.16666666666666666
4,0,2,min,0.16666666666666666
5,0,1,min,0.08333333333333333
8,4,1,min,0.08333333333333333
8,18,1,min,0.08333333333333333
9,0,1,min,0.08333333333333333
9,6,1,min,0.08333333333333333
9,16,1,min,0.08333333333333333
10,0,1,min,0.08333333333333333
11,18,1,min,0.08333333333333333
9,4,1,max,0.08333333333333333
9,5,1,max,0.08333333333333333
10,4,5,max,0.4166666666666667
10,5,1,max,0.08333333333333333
10,6,1,max,0.08333333333333333
10,13,1,max,0.08333333333333333
13,0,1,max,0.08333333333333333
15,16,1,max,0.08333333333333333
