arm,gap,count,min_max,frequency
4,0,1,min,0.2
6,5,1,min,0.2
6,7,1,min,0.2
6,14,1,min,0.2
7,20,1,min,0.2
6,15,1,max,0.2
7,6,2,max,0.4
8,2,1,max,0.2
8,5,1,max,0.2
