arm,gap,count,min_max,frequency
4,0,1,min,0.08333333333333333
6,0,1,min,0.08333333333333333
8,0,1,min,0.08333333333333333
8,4,1,min,0.08333333333333333
10,1,1,min,0.08333333333333333
10,6,1,min,0.08333333333333333
10,12,1,min,0.08333333333333333
10,14,1,min,0.08333333333333333
11,17,1,min,0.08333333333333333
11,19,1,min,0.08333333333333333
11,20,1,min,0.08333333333333333
12,19,1,min,0.08333333333333333
11,4,4,max,0.3333333333333333
11,11,1,max,0.08333333333333333
11,19,1,max,0.08333333333333333
12,4,1,max,0.08333333333333333
12,5,1,max,0.08333333333333333
13,0,2,max,0.16666666666666666
13,4,1,max,0.08333333333333333
15,16,1,max,0.08333333333333333
