PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.15154288654185716,0.15154288654185716
PC2,0.12880516357866373,0.2803480501205209
PC3,0.11234193722716548,0.39268998734768634
PC4,0.1093737595341164,0.5020637468818028
PC5,0.10474706943072236,0.6068108163125251
PC6,0.08768692122287207,0.6944977375353971
PC7,0.07431154269639188,0.768809280231789
PC8,0.06765025173373572,0.8364595319655247
PC9,0.06020452758833355,0.8966640595538582
PC10,0.056720910406055605,0.9533849699599138
