palindrome_size,mean,zone
3,-0.21953209498267737,cod
4,-0.26349643970536357,cod
5,-0.18258029383976826,cod
6,-0.10996826577252705,cod
7,-0.10409381547483916,cod
8,-0.15087294080134614,cod
9,-0.11041367850327645,cod
10,0.13982029352975242,cod
11,0.2132317115496368,cod
12,0.3412594537632025,cod
13,0.6884104486811662,cod
14,0.3325544946894134,cod
15,0.5130849853630624,cod
16,0.5294117647058824,cod
17,0.7647058823529411,cod
18,0.8881536640393005,cod
19,0.9411764705882353,cod
20,1.0,cod
