PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.4453026602969243,0.4453026602969243
PC2,0.12774752518621973,0.573050185483144
PC3,0.07278752041050311,0.6458377058936471
PC4,0.05126265334548969,0.6971003592391368
PC5,0.0390993535936351,0.736199712832772
PC6,0.036513279237229634,0.7727129920700015
PC7,0.03307894483909283,0.8057919369090943
PC8,0.028841794838558203,0.8346337317476525
PC9,0.02734259533269091,0.8619763270803434
PC10,0.025702856684130686,0.8876791837644741
