arm,gap,count,min_max,frequency
3,0,2,min,0.11764705882352941
4,0,2,min,0.11764705882352941
4,14,1,min,0.058823529411764705
5,0,2,min,0.11764705882352941
5,9,1,min,0.058823529411764705
6,3,1,min,0.058823529411764705
7,19,1,min,0.058823529411764705
8,4,1,min,0.058823529411764705
8,18,1,min,0.058823529411764705
9,0,1,min,0.058823529411764705
9,6,1,min,0.058823529411764705
9,16,1,min,0.058823529411764705
10,0,1,min,0.058823529411764705
11,18,1,min,0.058823529411764705
6,7,1,max,0.058823529411764705
7,3,1,max,0.058823529411764705
7,7,2,max,0.11764705882352941
8,2,1,max,0.058823529411764705
9,4,1,max,0.058823529411764705
9,5,1,max,0.058823529411764705
10,4,5,max,0.29411764705882354
10,5,1,max,0.058823529411764705
10,6,1,max,0.058823529411764705
10,13,1,max,0.058823529411764705
13,0,1,max,0.058823529411764705
15,16,1,max,0.058823529411764705
