arm,gap,count,min_max,frequency
4,0,1,min,0.058823529411764705
5,8,1,min,0.058823529411764705
6,0,1,min,0.058823529411764705
6,16,1,min,0.058823529411764705
7,3,1,min,0.058823529411764705
7,19,1,min,0.058823529411764705
7,20,1,min,0.058823529411764705
8,0,1,min,0.058823529411764705
8,4,1,min,0.058823529411764705
10,1,1,min,0.058823529411764705
10,6,1,min,0.058823529411764705
10,12,1,min,0.058823529411764705
10,14,1,min,0.058823529411764705
11,17,1,min,0.058823529411764705
11,19,1,min,0.058823529411764705
11,20,1,min,0.058823529411764705
12,19,1,min,0.058823529411764705
7,7,2,max,0.11764705882352941
7,12,1,max,0.058823529411764705
8,2,1,max,0.058823529411764705
9,4,1,max,0.058823529411764705
11,4,4,max,0.23529411764705882
11,11,1,max,0.058823529411764705
11,19,1,max,0.058823529411764705
12,4,1,max,0.058823529411764705
12,5,1,max,0.058823529411764705
13,0,2,max,0.11764705882352941
13,4,1,max,0.058823529411764705
15,16,1,max,0.058823529411764705
