PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.3492692418622341,0.3492692418622341
PC2,0.2555322027395938,0.6048014446018279
PC3,0.21710117388258393,0.8219026184844118
PC4,0.1780973815155882,1.0
PC5,1.340701799862814e-32,1.0
