palindrome_size,mean,zone
3,-0.23800312187703532,non
4,-0.14371364788620544,non
5,-0.16635563506878462,non
6,0.07939060691412315,non
7,0.19935757313124097,non
8,0.3028676667622094,non
9,0.58015759435106,non
10,0.596431911766758,non
11,1.0934649068307656,non
12,0.827866807388237,non
13,0.9294206194220348,non
14,0.555330692699889,non
15,0.6590238541813586,non
16,0.527636076445647,non
17,0.5218353535828171,non
18,0.7172327559347182,non
19,0.5340847965694021,non
20,0.5882352941176471,non
