PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.5393231841911543,0.5393231841911543
PC2,0.1223381819062744,0.6616613660974288
PC3,0.04832747568198844,0.7099888417794172
PC4,0.044838182965648864,0.7548270247450661
PC5,0.034000805129232974,0.7888278298742991
PC6,0.030417072276748957,0.8192449021510481
PC7,0.02730388273560361,0.8465487848866516
PC8,0.02493663909707519,0.8714854239837269
PC9,0.023895738351738815,0.8953811623354657
PC10,0.01956111996420272,0.9149422822996685
