PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.32192497848008367,0.32192497848008367
PC2,0.25066562897762945,0.5725906074577132
PC3,0.23439766933533976,0.806988276793053
PC4,0.19301172320694715,1.0
PC5,5.690546483911968e-32,1.0
