gap_size,mean,zone
0,-0.223350794089572,cod
1,-0.05089294452559939,cod
2,-0.01582932438596098,cod
3,-0.015528763063728268,cod
4,0.001999789458341893,cod
5,0.036299384900913494,cod
6,-0.024192996664260204,cod
7,-0.013544521701115812,cod
8,-0.0023466628973032337,cod
9,-0.03563631551246888,cod
10,0.007502201721837863,cod
11,0.011346477278000517,cod
12,-0.0031166641281776476,cod
13,-0.0031700668606780063,cod
14,-0.013095519308116584,cod
15,-0.0033364457962568187,cod
16,-0.015653118615833142,cod
17,0.014209847732789035,cod
18,-0.017896631376522778,cod
19,-0.006059671381155601,cod
20,-0.008780895087353765,cod
