palindrome_size,mean,zone
3,-0.22196827253863557,all
4,-0.23071223247162087,all
5,-0.19603222566058565,all
6,-0.060797753895533886,all
7,-0.04698966876440767,all
8,-0.018969459458883262,all
9,0.09259319852642706,all
10,0.23546311962732086,all
11,0.7385630417902929,all
12,0.7015281076064722,all
13,1.0205027460936242,all
14,0.4761204815069494,all
15,0.7364932449498229,all
16,0.527636076445647,all
17,0.5218353535828171,all
18,0.7230334787975482,all
19,0.5340847965694021,all
20,0.5882352941176471,all
