PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.29807543080294646,0.29807543080294646
PC2,0.2809140003731762,0.5789894311761227
PC3,0.2277120983107282,0.8067015294868509
PC4,0.19329847051314913,1.0
PC5,6.606434732340526e-32,1.0
