PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.12019143990774052,0.12019143990774052
PC2,0.10818279379558061,0.22837423370332113
PC3,0.0873037388942556,0.31567797259757674
PC4,0.0819479121726729,0.3976258847702496
PC5,0.07986467713115776,0.4774905619014074
PC6,0.06869206956358016,0.5461826314649876
PC7,0.06592730498660605,0.6121099364515936
PC8,0.06086074904923354,0.6729706855008272
PC9,0.051238448634627294,0.7242091341354545
PC10,0.04786228838500997,0.7720714225204645
