arm,gap,count,min_max,frequency
9,9,1,min,0.08333333333333333
10,1,1,min,0.08333333333333333
10,3,2,min,0.16666666666666666
10,5,1,min,0.08333333333333333
10,7,1,min,0.08333333333333333
10,8,1,min,0.08333333333333333
10,16,1,min,0.08333333333333333
10,19,1,min,0.08333333333333333
11,2,1,min,0.08333333333333333
11,13,1,min,0.08333333333333333
11,18,1,min,0.08333333333333333
9,13,1,max,0.08333333333333333
10,4,1,max,0.08333333333333333
10,6,1,max,0.08333333333333333
11,4,2,max,0.16666666666666666
11,20,1,max,0.08333333333333333
12,6,1,max,0.08333333333333333
12,7,1,max,0.08333333333333333
12,11,1,max,0.08333333333333333
13,0,1,max,0.08333333333333333
14,3,1,max,0.08333333333333333
14,18,1,max,0.08333333333333333
