arm,gap,count,min_max,frequency
5,8,1,min,0.2
6,16,1,min,0.2
7,3,1,min,0.2
7,19,1,min,0.2
7,20,1,min,0.2
7,7,2,max,0.4
7,12,1,max,0.2
8,2,1,max,0.2
9,4,1,max,0.2
