gap_size,mean,zone
0,-0.2180134701024322,all
1,-0.05363171041164804,all
2,-0.019095402577703178,all
3,-0.027851230086963875,all
4,0.021287697613544397,all
5,0.04660982985803901,all
6,-0.012645024928078633,all
7,0.006978084229997084,all
8,0.014900824015188344,all
9,-0.013264454081544008,all
10,-0.0014990633504215645,all
11,0.008862769894677002,all
12,-0.012859934283780624,all
13,-0.008491179012142998,all
14,-0.0017535449593331811,all
15,0.0042218070135265,all
16,-0.006603696952062335,all
17,0.015940796002730864,all
18,0.00028432804904304716,all
19,0.009237501779719413,all
20,0.007902664436317677,all
